Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
286 Spring St,"$10,750,000",NA,NA,10013,NA,"40.725483,-74.00727",NA
306 W 116th St #PH7A,,NA,NA,10026,NA,"40.80444,-73.95617",NA
285 Central Park W,"$7,625,000",3 ba,Apartment,10024,3 bd,"40.78717,-73.96847",NA
155 E East 49th St #7-D,"$375,000",NA,NA,10017,NA,"40.752365,-73.9732",NA
80 Riverside Blvd #14C,"$3,675,000+",3 ba,Condo,10069,3 bd,"40.77515,-73.99033","1,770 sqft"
33 W 56th St #4E,,NA,NA,10019,NA,"40.763233,-73.976105",NA
1 Central Park S #PH2009,"$59,000,000",4 ba,Condo,10019,4 bd,"40.76413,-73.97356","6,319 sqft"
1 York St #10,"$18,000,000",NA,NA,10013,NA,"40.721184,-74.005646",NA
325 Lexington Ave #5D,"$1,170,000",1 ba,Condo,10016,1 bd,"40.749165,-73.977394",790 sqft
321 E 54th St #7F,"$379,000",NA,NA,10022,NA,"40.757187,-73.96565",NA
454 W 54th St #5-B,"$1,500,000",NA,NA,10019,NA,"40.76674,-73.989265",NA
310 E 70th St #3-D,,NA,NA,10021,NA,"40.76703,-73.95882",NA
160 E 26th St #1H,"$629,000",NA,NA,10010,NA,"40.740788,-73.982185",NA
1810 3rd Ave #A3B,"$585,000+",1 ba,Condo,10029,1 bd,"40.788334,-73.94752",600 sqft
74 Washington Pl,"$25,000,000",6.5 ba,Townhome,10011,6 bd,"40.731724,-73.99983","7,053 sqft"
245 E 72nd St #2B,"$735,000",1 ba,Coop,10021,1 bd,"40.76928,-73.958725",800 sqft
166 E 35th St #12A,,1 ba,Apartment,10016,NA,"40.74635,-73.97804",450 sqft
71 E 77th St #3B,,2 ba,Coop,10075,2 bd,"40.77478,-73.961975",NA
242 E 87th St #3J,"$359,000",NA,NA,10128,NA,"40.778862,-73.952354",NA
210 E 84th St #5-B,"$375,000",NA,NA,10028,NA,"40.77718,-73.95455",NA
87 Barrow St,"$589,000",1 ba,Coop,10014,1 bd,"40.731506,-74.00629",435 sqft
155 W 68th St #714,"$1,550,000",1.5 ba,Condo,10023,2 bd,"40.776127,-73.982765",883 sqft
242 E 25th St #1A,"$1,995,000",2 ba,Coop,10010,2 bd,"40.739162,-73.98054","1,039 sqft"
120 W 127th St,,5 ba,Multi-Family Home,10027,5 bd,"40.80927,-73.9456","4,250 sqft"
160 Wooster St #5A,,2.5 ba,Condo,10012,3 bd,"40.72629,-73.99916","2,405 sqft"
27 W 72nd St #G4,"$850,000",1 ba,Condo,10023,1 bd,"40.777256,-73.97737",544 sqft
Address Not Disclosed,"$650,000",NA,NA,10016,NA,"40.741096,-73.97593",NA
321 E 45th St #14A,,NA,NA,10017,NA,"40.751457,-73.96951",NA
7 E 14th St,"$555,000",NA,NA,10003,NA,"40.735855,-73.992516",NA
136 W 75th St #6A,,NA,NA,10023,NA,"40.779797,-73.97903",NA
9-15 Murray St #8W,,2.5 ba,Condo,10007,3 bd,"40.713608,-74.00786","2,652 sqft"
300 E 93rd St #26F,,NA,NA,10128,NA,"40.781986,-73.948326",NA
341 W 84th St,"$8,795,000",NA,NA,10024,NA,"40.78839,-73.980125",NA
125 W 56th St #3B,,1 ba,Coop,10019,1 bd,"40.764393,-73.97884",600 sqft
159 Madison Ave #5H,,NA,NA,10016,NA,"40.74676,-73.98347",NA
350 Cabrini Blvd #1E,,NA,NA,10040,NA,"40.85671,-73.937546",NA
99 John St #1117,"$685,000+",1 ba,Condo,10038,NA,"40.708134,-74.006065",503 sqft
24 Bennett Ave #45-B,"$339,000",NA,NA,10033,NA,"40.851486,-73.936424",NA
401 E 65th St #10-I,,NA,NA,10065,NA,"40.763412,-73.95878",NA
401 E 65th St #8-E,"$450,000",NA,NA,10065,NA,"40.763412,-73.95878",NA
100 Riverside Blvd #14D,"$1,150,000+",NA,NA,10069,NA,"40.775593,-73.989876",NA
Address Not Disclosed,"$825,000",1 ba,Apt/Condo/Twnhm,10022,1 bd,"40.75635,-73.96561",NA
446 E 86th St #12G,,1 ba,Coop,10028,NA,"40.775803,-73.94758",450 sqft
449 Washington St,"$6,500,000+",2.5 ba,Condo,10013,4 bd,"40.723885,-74.01001","3,157 sqft"
36 Commerce St,,NA,NA,10014,NA,"40.731277,-74.00523",NA
69 Bennett Ave #201,"$394,900",1 ba,Condo,10033,1 bd,"40.852608,-73.93528",593 sqft
208 Spring St #2,,2 ba,Coop,10012,3 bd,"40.725266,-74.003876",NA
141 W 17th St #2,"$3,625,000",NA,NA,10011,NA,"40.7402,-73.997086",NA
415 W 46th St #2-D,"$369,000",NA,NA,10036,NA,"40.76149,-73.99138",NA
Lower E,,NA,NA,10009,NA,"40.726627,-73.97909",NA
150 E 27th St #5-A,,NA,NA,10016,NA,"40.74145,-73.982155",NA
449 Washington St,"$5,495,000",NA,NA,10013,NA,"40.723885,-74.01001",NA
419 E 57th St #12E,"$839,000",1 ba,Coop,10022,1 bd,"40.758198,-73.961914",NA
12 W 72nd St #2E,,1 ba,Coop,10023,1 bd,"40.776398,-73.97715",825 sqft
33 Greene St #3E,,NA,NA,10013,NA,"40.721867,-74.00232",NA
2 N Moore St,,NA,NA,10013,NA,"40.71958,-74.00634",NA
Address Not Disclosed,"$479,000",1 ba,Condo,10030,1 bd,"40.817425,-73.94412",470 sqft
2373 Broadway #511,"$1,300,000",NA,NA,10024,NA,"40.788937,-73.97668",NA
1600 Broadway #PH3C,,NA,NA,10019,NA,"40.760193,-73.984344",NA
6 E 76th St #4R,,1 ba,Coop,10021,1 bd,"40.774567,-73.96463",NA
795 5th Ave #3031,"$70,000,000",5 ba,Coop,10065,5 bd,"40.765102,-73.971695",NA
22 E 78th St,"$12,500,000",4 ba,Single-Family Home,10075,4 bd,"40.77567,-73.96328",NA
323 W 74th St,,NA,NA,10023,NA,"40.78184,-73.98469",NA
516 W 47th St #S7F,,1 ba,Condo,10036,1 bd,"40.763046,-73.994095",611 sqft
245 E 54th St #23H,"$575,000",1 ba,Coop,10022,1 bd,"40.757862,-73.96674",NA
43 W 61st St #18-J,"$999,000",NA,NA,10023,NA,"40.770645,-73.98348",NA
220 E 30th St,,6 ba,Townhome,10016,4 bd,"40.742607,-73.97915","3,628 sqft"
141 E 55th St,,1 ba,Condo,10022,1 bd,"40.759605,-73.96942",720 sqft
565 Broadway at Prince Street #2,"$9,950,000",NA,NA,10012,NA,"40.724255,-73.99814",NA
617 W End Ave #3B,"$1,725,000",2 ba,Coop,10024,3 bd,"40.791447,-73.97637",NA
575 Park Ave #1008,"$995,000",NA,NA,10065,NA,"40.765026,-73.967636",NA
445 5th Ave,,NA,NA,10016,NA,"40.751595,-73.98174",NA
340 E 23rd St #PH4B,"$3,000,000",3 ba,Condo,10010,3 bd,"40.737045,-73.97926","1,729 sqft"
70 W 82nd St,"$7,650,000",NA,NA,10024,NA,"40.783447,-73.973595",NA
87 Leonard St #4,"$9,000,000",NA,NA,10013,NA,"40.71739,-74.004585",NA
8 W 13th St #8RW,"$1,500,000",1 ba,Coop,10011,1 bd,"40.735485,-73.99511",NA
520 W 23rd St #6F,"$825,000",NA,NA,10011,NA,"40.747807,-74.00518",NA
1890 Adam Clayton Powell Jr Blvd #2B,"$1,479,000+",NA,NA,10026,NA,"40.802513,-73.95355",NA
342 W 56th St #7C,"$725,000",NA,NA,10019,NA,"40.76665,-73.98539",NA
26 E 63rd St #4-E,,NA,NA,10065,NA,"40.765804,-73.969345",NA
190 E 72nd St #33ACD,,7 ba,Coop,10021,8 bd,"40.76978,-73.961044",NA
24 Bennett Ave #35B,"$389,000",1 ba,Coop,10033,1 bd,"40.851486,-73.936424",NA
224 Mulberry St #1,"$12,750,000+",3.5 ba,Condo,10012,4 bd,"40.722313,-73.99584","3,924 sqft"
Address Not Disclosed,"$745,000",1 ba,Condo,10006,NA,"40.707825,-74.01385",656 sqft
243 W 98th St,,NA,NA,10025,NA,"40.796314,-73.971085",NA
269 W 153rd St #6,,NA,NA,10039,NA,"40.827843,-73.93757",NA
402 E 90th St #11G,"$1,350,000",NA,NA,10128,NA,"40.778965,-73.947",NA
20 Pine St #2405,"$825,000",NA,NA,10005,NA,"40.70763,-74.00983",NA
406 W 46th St #5C,,1 ba,Coop,10036,1 bd,"40.76104,-73.99151",NA
422 E 72nd St #34B,"$1,198,000",NA,NA,10021,NA,"40.766853,-73.95503",NA
343 E 74th St #16-D,"$1,099,000",NA,NA,10021,NA,"40.769768,-73.95573",NA
92 Horatio St #1L,"$1,795,000",2 ba,Coop,10014,1 bd,"40.738514,-74.007835",NA
320 E 57th St #9E,"$835,000",1 ba,Coop,10022,1 bd,"40.758762,-73.96475",975 sqft
240 Centre St #6M,"$3,650,000",2 ba,Apt/Condo/Twnhm,10013,2 bd,"40.72015,-73.99791",NA
Address Not Disclosed,"$725,995",NA,NA,10023,NA,"40.779278,-73.98145",NA
2 Tudor City Pl #11FS,"$695,000",1 ba,Coop,10017,1 bd,"40.74832,-73.97167",NA
415 E 85th St #2-H,"$355,000",NA,NA,10028,NA,"40.775997,-73.9488",NA
67 Park Ter E #C43 C44,"$1,100,000",3 ba,Coop,10034,4 bd,"40.87072,-73.916405","2,000 sqft"
208 E 84th St #2B,,NA,NA,10028,NA,"40.776974,-73.95428",NA
225 E 36th St #21C,"$384,000",NA,NA,10016,NA,"40.74666,-73.9758",NA
49 E 68th St,,10.5 ba,Townhome,10065,6 bd,"40.768974,-73.966125",NA
100 W 15th St #4-G,"$399,000",NA,NA,10011,NA,"40.738083,-73.99685",NA
55 Wall St #804,"$950,000+",1.5 ba,Condo,10005,1 bd,"40.70592,-74.00934","1,017 sqft"
362 W Broadway #2-FLR,"$4,900,000",NA,NA,10013,NA,"40.723152,-74.00342",NA
52 E 78th St #3-C,,NA,NA,10075,NA,"40.775154,-73.9621",NA
212 E 48th St #9-E,,NA,NA,10017,NA,"40.75405,-73.97105",NA
40 Broad St #20H,,NA,NA,10004,NA,"40.705753,-74.011604",NA
Address Not Disclosed,,NA,NA,10021,NA,"40.771214,-73.95702",NA
315 E 58th St,"$9,950,000",NA,NA,10022,NA,"40.759888,-73.96398",NA
1 W End Ave #14D,"$3,840,000",3.5 ba,Condo,10023,3 bd,"40.773373,-73.989975","2,013 sqft"
28 E 22nd St #2,,1 ba,Loft,10010,1 bd,"40.739834,-73.98817","1,500 sqft"
468 W 145th St,,NA,NA,10031,NA,"40.824783,-73.94729",NA
140 E 56th St #4-A,"$565,000",NA,NA,10022,NA,"40.75992,-73.96942",NA
Address Not Disclosed,,NA,NA,10028,NA,"40.778503,-73.955956",NA
577 Grand St #F-1505,"$825,000",NA,NA,10002,NA,"40.713512,-73.97893",NA
418 E 59th St #30-A,"$1,645,000",NA,NA,10022,NA,"40.759052,-73.96125",NA
95 Park Ter E #2-C,"$344,900",NA,NA,10034,NA,"40.87131,-73.91576",NA
205 W 57th St #9DC,"$729,000",1 ba,Coop,10019,1 bd,"40.76595,-73.98029",800 sqft
155 E 49th St #6A,"$620,000",NA,NA,10017,NA,"40.75568,-73.97176",NA
1623 3rd Ave #37C,"$699,000",1 ba,Condo,10128,1 bd,"40.782032,-73.950676",793 sqft
244 Madison Ave #11B,,NA,NA,10016,NA,"40.75022,-73.981544",NA
130 E 18th St #9B,"$735,000",1 ba,Coop,10003,1 bd,"40.736233,-73.986786",NA
132 Eldridge St #3A,"$850,000",NA,NA,10002,NA,"40.71876,-73.991516",NA
444 E 86th St #11-G,,NA,NA,10028,NA,"40.776073,-73.94782",NA
568 Grand St #J802,,1 ba,Coop,10002,1 bd,"40.71406,-73.97975",800 sqft
233 E 70th St #10P,,NA,NA,10021,NA,"40.768085,-73.96036",NA
215 Chrystie St #PH3,"$18,750,000",NA,NA,10002,NA,"40.72267,-73.99175",NA
170 Park Row #22E,"$399,000",NA,NA,10038,NA,"40.71368,-73.999985",NA
2440 Amsterdam Ave #4E,,NA,NA,10033,NA,"40.84856,-73.930984",NA
306 W 13th St #5,"$1,200,000",NA,NA,10014,NA,"40.739132,-74.003624",NA
120 W 58th St #9C,"$925,000",1 ba,Condo,10019,1 bd,"40.765156,-73.97774",750 sqft
315 E 65th St #9A,"$950,000",1 ba,Loft,10065,2 bd,"40.76425,-73.960655",950 sqft
245 E 93rd St #30B,"$795,000",1 ba,Condo,10128,1 bd,"40.782646,-73.94891",753 sqft
555 W 23rd St #S10Q,"$945,000",NA,NA,10011,NA,"40.748882,-74.00589",NA
100 W 57th St #11B,,NA,NA,10019,NA,"40.76412,-73.97781",NA
27 Leonard St,"$3,300,000",NA,NA,10013,NA,"40.71866,-74.00742",NA
52 Lispenard St #2,"$7,750,000+",4.5 ba,Condo,10013,4 bd,"40.719475,-74.0032","3,804 sqft"
453 W 19th St #6B,,NA,NA,10011,NA,"40.7451,-74.00507",NA
25 Prince St #3A,,NA,NA,10012,NA,"40.723026,-73.99446",NA
Address Not Disclosed,,5 ba,Condo,10013,6 bd,"40.72103,-74.00898","7,500 sqft"
159 W 136th St,"$2,000,000",NA,NA,10030,NA,"40.81581,-73.94222",NA
4 E 70th St #7B,,1 ba,Coop,10021,1 bd,"40.77061,-73.967316",NA
20 Pine St #516,,NA,NA,10005,NA,"40.70763,-74.00983",NA
124 E 79th St #5-A,,NA,NA,10075,NA,"40.774952,-73.95964",NA
427 W 21st St,"$2,469,000",1 ba,Coop,10011,1 bd,"40.74593,-74.00334",NA
1803 Riverside Dr #4K,"$329,000",NA,NA,10034,NA,"40.866356,-73.92968",NA
497 Greenwich St #6C,,NA,NA,10013,NA,"40.7256,-74.00897",NA
246 Spring St #3311,"$825,000",1 ba,Condo,10013,NA,"40.7253,-74.00541",475 sqft
333 E 43rd St #1021,"$999,000",2 ba,Coop,10017,2 bd,"40.750015,-73.96997",NA
210 W 78th St,"$725,000",NA,NA,10024,NA,"40.782516,-73.97955",NA
2 5th Ave #8DE,"$3,999,000",3 ba,Coop,10011,3 bd,"40.731834,-73.99707",NA
238 E 61st St,"$7,995,000",5 ba,Single-Family Home,10065,6 bd,"40.761997,-73.96434","5,084 sqft"
30 West St,"$1,590,000",NA,NA,10004,NA,"40.706573,-74.01578",NA
188 E 78th St #7AB,,4.5 ba,Condo,10075,4 bd,"40.77346,-73.9583","3,732 sqft"
160 E 83rd St #1,,NA,NA,10028,NA,"40.777077,-73.95633",NA
155 E 79th St #DUPLEX 11,"$15,600,000",5.5 ba,Condo,10075,5 bd,"40.775055,-73.95838","4,311 sqft"
161 E 63rd St,,NA,NA,10065,NA,"40.76454,-73.96531",NA
1 Central Park S,,5.5 ba,Condo,10019,6 bd,"40.76413,-73.97356","3,800 sqft"
45 Tudor City Pl #207,,NA,NA,10017,NA,"40.74936,-73.96998",NA
241 W 107th St,,NA,NA,10025,NA,"40.80205,-73.96685",NA
400 E 70th St #1004,,1 ba,Condo,10021,1 bd,"40.766125,-73.95678",NA
52 Park Ave #PH-2021,,NA,NA,10016,NA,"40.749203,-73.98012",NA
52 E End Ave,,NA,NA,10028,NA,"40.772335,-73.94704",NA
240 E 76th St #16S,"$725,000",NA,NA,10021,NA,"40.771214,-73.95702",NA
99 E 4th St #6K,"$1,250,000",NA,NA,10003,NA,"40.726055,-73.98854",NA
200 E 62nd St #27E,"$6,250,000+",4.5 ba,Condo,10065,4 bd,"40.76302,-73.96508","2,536 sqft"
56 Pine St #8B,"$715,000",1 ba,Condo,10005,1 bd,"40.70684,-74.00835",706 sqft
187 Pinehurst Ave #2E,,1 ba,Coop,10033,1 bd,"40.854443,-73.9378",625 sqft
130 E 38th St,"$3,199,000",2 ba,Townhome,10016,3 bd,"40.748962,-73.9783",NA
357 E 57th St #10-F,"$559,500",NA,NA,10022,NA,"40.758743,-73.96359",NA
372 5th Ave #4P,"$450,000",1 ba,Coop,10018,NA,"40.74945,-73.9843",NA
45 E End Ave #12-J,"$575,000",NA,NA,10028,NA,"40.771748,-73.946594",NA
325 Riverside Dr #24A,"$949,000",NA,NA,10025,NA,"40.801323,-73.97042",NA
49 Downing St #G3,,2 ba,Loft,10014,1 bd,"40.729336,-74.00429",NA
25 E 83rd St #10B,,1 ba,Coop,10028,1 bd,"40.778954,-73.959984",673 sqft
718 Broadway #11D,"$1,595,000",1 ba,Coop,10003,1 bd,"40.72895,-73.99332",NA
90 La Salle St #7D,"$650,000",1 ba,Coop,10027,2 bd,"40.81344,-73.959145",950 sqft
131 Avenue B,"$1,250,000",1 ba,Coop,10009,2 bd,"40.725845,-73.98032",NA
46 Mercer St #6W,"$3,695,000",NA,NA,10013,NA,"40.72152,-74.0009",NA
315 E 77th St #2E,,NA,NA,10075,NA,"40.771908,-73.95517",NA
300 E 64th St #7F,,NA,NA,10065,NA,"40.763485,-73.96187",NA
344 W End Ave,"$525,000",NA,NA,10024,NA,"40.78246,-73.98215",NA
33 W 56th St,"$15,500,000",NA,NA,10019,NA,"40.763233,-73.976105",NA
204 W 140th St #2D,"$499,000",NA,NA,10030,NA,"40.81859,-73.94227",NA
781 5th Ave #914,,NA,NA,10022,NA,"40.764313,-73.97252",NA
246 Spring St #3503,"$1,200,000",1 ba,Condo,10013,NA,"40.7253,-74.00541",488 sqft
15 W 53rd St #35-AB,"$11,500,000",NA,NA,10019,NA,"40.76152,-73.977615",NA
77 Bleecker St,,1 ba,Coop,10012,NA,"40.72714,-73.99592",NA
301 E 62nd St #15FG,"$1,595,000",2 ba,Coop,10065,2 bd,"40.76254,-73.9625","1,464 sqft"
320 E 42nd St #1410,"$210,000",NA,NA,10017,NA,"40.749428,-73.97165",NA
1 Central Park W #35G,,4.5 ba,Condo,10023,3 bd,"40.769108,-73.981606","3,059 sqft"
188 8th Ave #5N,"$950,000",1 ba,Coop,10011,2 bd,"40.743,-73.99974",NA
444 Central Park W #11C,,NA,NA,10025,NA,"40.79706,-73.96097",NA
1 W End Ave #33A,"$7,450,000",4.5 ba,Condo,10023,4 bd,"40.773373,-73.989975","3,030 sqft"
15 Renwick St #404,"$3,550,000+",3.5 ba,Condo,10013,3 bd,"40.72485,-74.00872","1,774 sqft"
Address Not Disclosed,,NA,NA,10065,NA,"40.761868,-73.9586",NA
153 W 126th St,"$2,250,000",NA,NA,10027,NA,"40.80942,-73.94669",NA
244A E 60th St #3D,"$519,000",NA,NA,10022,NA,"40.761288,-73.96461",NA
101 W 12th St #19F,,1 ba,Coop,10011,1 bd,"40.73642,-73.998",NA
150 Central Park S #411,,NA,NA,10019,NA,"40.766052,-73.977936",NA
2280 Frederick Douglass Blvd #5C,,1 ba,Condo,10027,1 bd,"40.808384,-73.95206",836 sqft
230 E 79th St,"$525,000",1 ba,Coop,10075,NA,"40.773495,-73.95618",NA
Address Not Disclosed,"$1,150,000",2 ba,Single-Family Home,10025,2 bd,"40.791847,-73.96587","1,150 sqft"
245 E 93rd St #28-E,"$1,495,000",NA,NA,10128,NA,"40.782646,-73.94891",NA
15 E 82nd St #2,"$12,995,000",NA,NA,10028,NA,"40.778683,-73.961075",NA
525 E 86th St #17-E,,NA,NA,10028,NA,"40.775745,-73.94585",NA
250 W 90th St #34,"$2,700,000",NA,NA,10024,NA,"40.790863,-73.9752",NA
205 3rd Ave #3A,"$570,000",1 ba,Coop,10003,NA,"40.73592,-73.984764",600 sqft
860 5th Ave,"$1,190,000",NA,NA,10065,NA,"40.76945,-73.968704",NA
345 W 145th St #14B5,"$435,500",NA,NA,10031,NA,"40.82386,-73.94397",NA
275 Greenwich St #4L,,NA,NA,10007,NA,"40.71517,-74.010925",NA
426 W 58th St #PH,,NA,NA,10019,NA,"40.76879,-73.98616",NA
25 Central Park W #8I,"$3,850,000",2 ba,Condo,10023,3 bd,"40.770405,-73.9804","1,630 sqft"
344 W 72nd St #608,"$4,195,000+",3.5 ba,Condo,10023,3 bd,"40.780388,-73.98636","2,280 sqft"
678 Lexington Ave,"$999,000",NA,NA,10022,NA,"40.760437,-73.96977",NA
26 E 63rd St #8-E,"$695,000",NA,NA,10065,NA,"40.765804,-73.969345",NA
136 W 81st St #2R,"$630,000",NA,NA,10024,NA,"40.78366,-73.97607",NA
201 W 72nd St #20E,"$1,085,000",NA,NA,10023,NA,"40.779236,-73.98238",NA
317 E 6th St,"$1,395,000",1 ba,Coop,10003,1 bd,"40.72717,-73.98747",NA
18 E 69th St,,NA,NA,10021,NA,"40.769836,-73.96733",NA
10 Beach St #3-FLR,,NA,NA,10013,NA,"40.72014,-74.00629",NA
7 E 14th St #510,"$1,095,000",NA,NA,10003,NA,"40.735855,-73.992516",NA
130 Water St #12H,"$995,000",NA,NA,10005,NA,"40.705765,-74.00722",NA
2 Beekman Pl #8F,"$599,000",1 ba,Coop,10022,1 bd,"40.75306,-73.96532",NA
159 Madison Ave #7I,"$425,000",NA,NA,10016,NA,"40.74676,-73.98347",NA
320 W 80th St,"$14,000,000",NA,NA,10024,NA,"40.785175,-73.98162",NA
261 W 28th St #4C,,1 ba,Condo,10001,1 bd,"40.748318,-73.99556",737 sqft
118 Suffolk St #3A,"$649,000",NA,NA,10002,NA,"40.718975,-73.98585",NA
39 E 72nd St,,NA,NA,10021,NA,"40.77182,-73.964775",NA
353 104th St #6B,,NA,NA,10029,NA,"40.788784,-73.94213",NA
1810 3rd Ave #A7D,"$779,987+",1 ba,Condo,10029,2 bd,"40.788334,-73.94752",754 sqft
25 Murray St #6A,"$2,599,000",2 ba,Condo,10007,2 bd,"40.71382,-74.00837","1,557 sqft"
432 Park Ave,"$16,950,000",NA,NA,10022,NA,"40.76117,-73.97143",NA
132 E 38th St,"$3,000,000",2 ba,Single-Family Home,10016,2 bd,"40.748936,-73.97823","2,175 sqft"
12-16 E 62nd St,"$120,000,000",NA,NA,10065,NA,"40.765564,-73.97087",NA
301 E 48th St #2J,"$844,000",1 ba,Loft,10017,1 bd,"40.753723,-73.96894",883 sqft
236 E 47th St #20E,,2 ba,Condo,10017,2 bd,"40.75308,-73.97069","1,040 sqft"
123 Washington St #43F,"$1,700,000",1 ba,Condo,10006,1 bd,"40.709145,-74.013695",733 sqft
404 E 79th St #4AB,,NA,NA,10075,NA,"40.771904,-73.95252",NA
232 W 15th St,"$11,995,000",NA,NA,10011,NA,"40.739723,-74.000824",NA
429 Greenwich St #4-D,"$4,395,000",NA,NA,10013,NA,"40.72231,-74.00939",NA
15 Central Park W #35AB,"$55,000,000",5 ba,Condo,10023,5 bd,"40.77013,-73.981514","6,000 sqft"
212 W 18th St #18A,"$34,000,000",NA,NA,10011,NA,"40.741257,-73.99871",NA
25 Columbus Cir #70B,,3.5 ba,Condo,10019,3 bd,"40.76889,-73.983406","3,491 sqft"
41 E 70th St,,NA,NA,10021,NA,"40.770393,-73.9656",NA
293 Lafayette St,"$66,000,000",NA,NA,10012,NA,"40.724403,-73.995636",NA
116 E 70th St,,NA,NA,10021,NA,"40.76924,-73.96408",NA
37 E 12th St #PH,,NA,NA,10003,NA,"40.733837,-73.99201",NA
875 W 181st St #1I,,1 ba,Coop,10033,2 bd,"40.851845,-73.94127",NA
Address Not Disclosed,"$1,695,000",2 ba,Condo,10009,2 bd,"40.72814,-73.98047",NA
255 Hudson St #3D,"$1,495,000",NA,NA,10013,NA,"40.72471,-74.00818",NA
56 Leonard St #58,"$34,500,000",5.5 ba,Condo,10013,5 bd,"40.717716,-74.0064","5,489 sqft"
2 N Moore St,,NA,NA,10013,NA,"40.71958,-74.00634",NA
445 Lafayette St #17PH,,4 ba,Coop,10003,3 bd,"40.729656,-73.99137","4,156 sqft"
235 E 57th St #2E,,2 ba,Loft,10022,2 bd,"40.75982,-73.96576",NA
30 Rutgers St #3A,"$859,000",NA,NA,10002,NA,"40.712887,-73.99031",NA
Address Not Disclosed,,NA,NA,10025,NA,"40.793304,-73.97396",NA
795 5th Ave #PH,"$63,000,000",7 ba,Coop,10065,5 bd,"40.765102,-73.971695",NA
285 Lafayette St #PH9A,,3.5 ba,Condo,10012,4 bd,"40.724056,-73.99571",NA
487 Greenwich St #3-A,"$5,575,000",NA,NA,10013,NA,"40.724922,-74.00898",NA
333 E 68th St #13A,,NA,NA,10065,NA,"40.765957,-73.958885",NA
50 Park Ave #3E,"$495,000",1 ba,Loft,10016,NA,"40.74937,-73.98035",NA
300 W 110th St #9K,"$695,000",NA,NA,10026,NA,"40.800526,-73.959206",NA
71 Franklin St,"$65,000,000",NA,NA,10013,NA,"40.71762,-74.00435",NA
7 E 84th St,"$29,000,000",11.5 ba,Townhome,10028,8 bd,"40.78013,-73.960526","13,000 sqft"
101 W 24th St #PH1C,"$8,000,000",2 ba,Condo,10011,3 bd,"40.744045,-73.99251","2,280 sqft"
195 Prince St #3W,,NA,NA,10012,NA,"40.726772,-74.0025",NA
305 W 150th St #105,"$356,500",NA,NA,10039,NA,"40.826473,-73.94016",NA
447 W 18th St #4C,"$2,600,000",NA,NA,10011,NA,"40.74448,-74.00543",NA
205 W End Ave #22R,,1 ba,Coop,10023,NA,"40.778473,-73.98655",575 sqft
270 Seaman Ave #E7,,1 ba,Coop,10034,2 bd,"40.872437,-73.9177",990 sqft
44 E 12th St,"$3,395,000",2 ba,Condo,10003,3 bd,"40.733253,-73.99183","1,400 sqft"
111 Barrow St #3C,"$2,795,000",NA,NA,10014,NA,"40.731583,-74.008194",NA
136 W 17th St,,NA,NA,10011,NA,"40.739807,-73.99728",NA
39 W 131st St,,NA,NA,10037,NA,"40.811115,-73.94107",NA
2064 5th Ave,"$3,495,000",NA,NA,10035,NA,"40.80805,-73.94146",NA
401 E 74th St #4P,,1 ba,Coop,10021,NA,"40.769196,-73.95445",NA
199 Mott St #2,,3 ba,Condo,10012,3 bd,"40.72142,-73.99572","2,907 sqft"
230 Central Park S #12,,NA,NA,10019,NA,"40.76727,-73.980675",NA
154 Attorney St #403,,NA,NA,10002,NA,"40.720375,-73.98315",NA
151 E 78th St,"$29,500,000",NA,NA,10075,NA,"40.774216,-73.9589",NA
201 E 37th St #4E,,NA,NA,10016,NA,"40.747654,-73.97631",NA
45 Tudor City Pl #307,"$450,000",NA,NA,10017,NA,"40.74936,-73.96998",NA
340 E 80th St #2-G,"$639,000",NA,NA,10075,NA,"40.77342,-73.9535",NA
410 Central Park W #11-E,"$735,000",NA,NA,10025,NA,"40.794815,-73.96278",NA
407 E 91st St #1D,,NA,NA,10128,NA,"40.77989,-73.94606",NA
55 E End Ave #14A,"$1,495,000",NA,NA,10028,NA,"40.77197,-73.946365",NA
100 Grand St #5FL,"$5,200,000",NA,NA,10013,NA,"40.7215,-74.00157",NA
1200 Broadway #78D,,NA,NA,10001,NA,"40.746067,-73.98813",NA
426 W 22nd St,,NA,NA,10011,NA,"40.74602,-74.002815",NA
375 Riverside Dr #2F,,1 ba,Coop,10025,2 bd,"40.80438,-73.96796",NA
180 Avenue Of The Americas,"$28,000,000",NA,NA,10013,NA,"40.72594,-74.00352",NA
400 E 67th St #PH-31,"$19,750,000",NA,NA,10065,NA,"40.764275,-73.958145",NA
77 Bleecker St,"$895,000",NA,NA,10012,NA,"40.72714,-73.99592",NA
61 Jane St #18M,,1 ba,Coop,10014,1 bd,"40.738274,-74.00587",NA
200 E 32nd St #31D,,2.5 ba,Condo,10016,2 bd,"40.744015,-73.97895","1,182 sqft"
340 E 93rd St,"$575,000",NA,NA,10128,NA,"40.781425,-73.94669",NA
432 W 52nd St,"$1,495,000",NA,NA,10019,NA,"40.76529,-73.98972",NA
105 W 13th St #5F,,1 ba,Coop,10011,NA,"40.736923,-73.997574",450 sqft
18 Leonard St,,NA,NA,10013,NA,"40.718616,-74.0081",NA
136 W 70th St #3,"$459,000",1 ba,Loft,10023,NA,"40.776413,-73.981094",NA
220 Riverside Blvd #12R,"$4,600,000",NA,NA,10069,NA,"40.779762,-73.98732",NA
DRL-LF 159 St,"$399,000",NA,NA,11434,NA,"40.712784,-74.00594",NA
