Address,Housing_price,Baths,Housing_type,ZipCode,Beds,Location,Housing_area
145 Morningside Ave #4B,"$259,000",NA,NA,10027,NA,"40.811623,-73.9534",NA
729 Greenwich St #J27,"$495,000",NA,NA,10014,NA,"40.734818,-74.00684",NA
5 Tudor City Pl #1014,"$249,500",NA,NA,10017,NA,"40.748795,-73.970924",NA
2 E 55th St #821,,NA,NA,10022,NA,"40.761467,-73.97479",NA
303 W 66th St #17-JE,"$1,100,000",NA,NA,10023,NA,"40.77661,-73.98765",NA
50 E 129th St #3A,"$585,000",1 ba,Condo,10035,2 bd,"40.80783,-73.93844",940 sqft
50 E 1st St #8,"$327,000",1 ba,Coop,10003,NA,"40.723976,-73.98952",NA
1878 Adam Clayton Powell Jr Blvd #31,"$400,000",NA,NA,10026,NA,"40.801884,-73.95401",NA
3405 Broadway #4A,"$350,000",NA,NA,10031,NA,"40.822395,-73.9539",NA
Address Not Disclosed,"$559,000",1 ba,Single-Family Home,10023,1 bd,"40.779606,-73.980515",NA
244 E 60th St #2C,"$535,000",NA,NA,10022,NA,"40.761288,-73.96461",NA
70 Little West St #22D,"$2,995,000",NA,NA,10004,NA,"40.706654,-74.01685",NA
Address Not Disclosed,,NA,NA,10032,NA,"40.82936,-73.94008",NA
503 W 141st St #12A,"$275,000",NA,NA,10031,NA,"40.823093,-73.95003",NA
328 W 96th St #4C,"$785,000",NA,NA,10025,NA,"40.79552,-73.97459",NA
2 S End Ave #TH7,"$1,575,000",NA,NA,10280,NA,"40.707924,-74.01724",NA
1608 Amsterdam Ave #10,"$299,999",NA,NA,10031,NA,"40.821766,-73.95055",NA
305 E 91st St #2C,"$560,000",NA,NA,10128,NA,"40.781036,-73.94875",NA
503 W 141st St #21,"$350,000",NA,NA,10031,NA,"40.823093,-73.95003",NA
300 W 135th St #4B,"$569,000",NA,NA,10030,NA,"40.816357,-73.94738",NA
75 Wall St,"$1,050,000",NA,NA,10005,NA,"40.705055,-74.00811",NA
2132 2nd Ave #2B,"$725,000",2 ba,Condo,10029,2 bd,"40.792904,-73.94041","1,027 sqft"
616 W 137th St #1-B,"$498,500",NA,NA,10031,NA,"40.821697,-73.955444",NA
353 E 72nd St #28D,"$759,000",NA,NA,10021,NA,"40.768307,-73.95646",NA
566 W 159th St #43,"$299,000",NA,NA,10032,NA,"40.83478,-73.94331",NA
520 E 90th St #6G,"$899,000",NA,NA,10128,NA,"40.778053,-73.9446",NA
464 W 152nd St #54,"$379,000",1 ba,Coop,10031,2 bd,"40.829056,-73.943565",NA
225 E 36th St #5D,"$380,000",NA,NA,10016,NA,"40.74666,-73.9758",NA
445 W 54th St #2C,"$1,195,000",NA,NA,10019,NA,"40.7671,-73.98914",NA
206 W 137th St,"$2,500,000",NA,NA,10030,NA,"40.816696,-73.9436",NA
225 E 57th St #9C,"$695,000",NA,NA,10022,NA,"40.76004,-73.96651",NA
155 W 66th St #523,"$182,000",NA,NA,10023,NA,"40.774517,-73.983154",NA
1420 York Ave #2H,,NA,NA,10021,NA,"40.769016,-73.95175",NA
Address Not Disclosed,"$750,000",NA,NA,10028,NA,"40.779232,-73.96152",NA
240 E 55th St #1E,"$399,000",NA,NA,10022,NA,"40.758133,-73.96693",NA
Address Not Disclosed,"$409,900",NA,NA,10036,NA,"40.760815,-73.98611",NA
81 E 24th St,"$720,000",NA,NA,10010,NA,"40.741165,-73.986244",NA
338 E 67th St #14,"$449,000",1 ba,Coop,10065,1 bd,"40.764713,-73.95915",NA
108 E 66th St #5-AB,"$1,695,000",NA,NA,10065,NA,"40.766884,-73.96623",NA
517 E 77th St #4-G,"$399,000",NA,NA,10075,NA,"40.76971,-73.95021",NA
41 E 28th St #2B,"$1,199,000",NA,NA,10016,NA,"40.743744,-73.98447",NA
139-141 W 126th St #5B,"$649,000",NA,NA,10027,NA,"40.80926,-73.94633",NA
241 E 76th St #7I,"$750,000",NA,NA,10021,NA,"40.771706,-73.95686",NA
131 W 85th St #5-A,"$450,000",NA,NA,10024,NA,"40.786602,-73.97396",NA
8 Maiden Ln,"$759,000",NA,NA,10038,NA,"40.709377,-74.009575",NA
424 W 49th St #6B,"$1,650,000",NA,NA,10019,NA,"40.76315,-73.990685",NA
Woodhaven N,"$888,880",NA,NA,11421,NA,"40.690136,-73.856606",NA
779 Riverside Dr #A-12,"$1,195,000",NA,NA,10032,NA,"40.8352,-73.94753",NA
325 E 57th St #2B,"$1,150,000",2 ba,Coop,10022,2 bd,"40.758938,-73.96406",NA
230 E 15th St #8FG,"$1,150,000",NA,NA,10003,NA,"40.73321,-73.98551",NA
2077 5th Ave #3C,,NA,NA,10035,NA,"40.808357,-73.94052",NA
115 E 36th St #4R,,NA,NA,10016,NA,"40.748177,-73.979355",NA
100 W 57th St #3P,"$389,000",NA,NA,10019,NA,"40.76412,-73.97781",NA
