HOA,Housing_area,Crime_level,Address,Housing_type,Beds,Postal_code,Built_year,Baths,Housing_price
"$1,574",800 sqft,Lowest,425 E 51st St #9D,Coop,1 Bedroom,10022,Built in 1930,1 full Bathroom,
"$1,208",968 sqft,Lowest,1991 Broadway #16A,Condo,2 Bedroom,10023,NA,2 full Bathroom,"$2,040/sqft"
NA,"1,998 sqft",Moderate,63 W 130th St,Townhome,5 Bedroom,10037,Built in 1910,5 full Bathroom,NA
$865,NA,NA,92 Horatio St #5J,Coop,1 Bedroom,10014,Built in 1877,1 full Bathroom,NA
"$10,831","4,664 sqft",Lowest,505 W 19th St,Condo,4 Bedroom,10011,Built in 2015,,"$4,042/sqft"
"$3,892","3,038 sqft",NA,245 W 14th St #- APT TOWER 2,Condo,4 Bedroom,10011,Built in 2015,,"$2,814/sqft"
"$1,306","1,000 sqft",Lowest,25 Sutton Pl S #14A,Coop,1 Bedroom,10022,Built in 1959,,
"$2,073","1,686 sqft",Lowest,1 W End Ave #21B,Condo,3 Bedroom,10023,NA,3 full Bathroom,"$1,972/sqft"
"$3,381",NA,Lowest,8 E 83rd St #12F,Coop,2 Bedroom,10028,NA,2 full Bathroom,NA
"$1,397",700 sqft,Lowest,345 E 93rd St #31F,Coop,1 Bedroom,10128,Built in 1975,1 full Bathroom,
"$3,393","1,938 sqft",Lowest,155 W 11th St #8C,Condo,2 Bedroom,10011,Built in 2014,,"$3,287/sqft"
"$1,500","1,815 sqft",Moderate,30 Park Pl #73C,Condo,3 Bedroom,10007,Built in 2016,3 full Bathroom,"$3,774/sqft"
NA,"13,150 sqft",NA,124 W Houston St,Single-Family Home,NA,10012,NA,NA,"$1,521/sqft"
"$1,815","1,393 sqft",Lowest,1 Central Park S #1807,Condo,1 Bedroom,10019,Built in 1907,,"$5,384/sqft"
"$1,206","1,081 sqft",Lowest,515 E 72nd St #22G,Condo,2 Bedroom,10021,Built in 1985,2 full Bathroom,"$1,804/sqft"
"$3,053","2,467 sqft",Lowest,45 E 22nd St #46A,Condo,3 Bedroom,10010,Built in 2016,3 full Bathroom,"$3,782/sqft"
"$1,031","1,083 sqft",Low,88 Lexington Ave #801,Condo,1 Bedroom,10016,Built in 1927,,"$1,893/sqft"
"$3,983","2,021 sqft",Lowest,22 Central Park South Apt,Condo,2 Bedroom,10019,Built in 1907,,"$3,117/sqft"
"$2,201","2,237 sqft",Moderate,360 E 88th St #32C,Condo,3 Bedroom,10128,NA,,"$1,766/sqft"
"$2,049","1,911 sqft",NA,25 Murray St #6C,Condo,2 Bedroom,10007,Built in 1830,2 full Bathroom,"$1,544/sqft"
"$1,348","1,253 sqft",Moderate,175 W 95th St #16C,Condo,3 Bedroom,10025,Built in 1971,2 full Bathroom,"$1,568/sqft"
"$2,452","1,756 sqft",Low,150 E 69th St #7Q,Coop,2 Bedroom,10021,NA,2 full Bathroom,"$1,324/sqft"
"$1,250","1,266 sqft",Moderate,280 Park Ave S #21A,Condo,2 Bedroom,10010,Built in 1986,2 full Bathroom,"$2,077/sqft"
$672,665 sqft,Lowest,350 E 82nd St #7Y,Condo,NA,10028,NA,1 full Bathroom,"$1,030/sqft"
$816,NA,NA,51 Jane St #5,Coop,NA,10014,Built in 1909,1 full Bathroom,NA
"$1,590",NA,NA,604 Riverside Dr #2AB,Coop,3 Bedroom,10031,Built in 1904,,NA
"$1,100",NA,Lowest,875 W 181st St #2K,Coop,2 Bedroom,10033,Built in 1917,1 full Bathroom,NA
"$1,342","1,000 sqft",Low,720 Greenwich St #6D,Coop,1 Bedroom,10014,Built in 1898,1 full Bathroom,"$1,500/sqft"
"$2,048","1,372 sqft",Lowest, Cpw #8,Condo,3 Bedroom,10025,NA,2 full Bathroom,"$1,531/sqft"
"$2,475",NA,Low,470 W End Ave #1E,Coop,3 Bedroom,10024,Built in 1928,,NA
